dataset,scope,method,test,metric,delta,pvalue,ci_lo,ci_hi
galar_pathology,single,pact,video_cluster_bootstrap,F1,0.0009,0.2235,-0.0012,0.0031
galar_pathology,single,pact,video_cluster_bootstrap,MCC,0.0003,1.489e-295,-0.0020,0.0024
galar_pathology,single,pact,video_cluster_bootstrap,rareRec,0.0076,2.106e-291,0.0017,0.0147
galar_pathology,single,pact,video_cluster_bootstrap,rarePrec,0.0090,0.2955,-0.0102,0.0444
galar_pathology,single,pact,video_cluster_bootstrap,rareF1,0.0029,0.2432,-0.0024,0.0080
galar_pathology,single,pact_uncon,fold_ttest,F1,0.0024,0.2118,,
galar_pathology,single,pact_uncon,fold_ttest,MCC,0.0009,0.4716,,
galar_pathology,single,pact_uncon,fold_ttest,rareRec,0.0107,0.1589,,
galar_pathology,single,pact_uncon,fold_ttest,rarePrec,-0.0003,0.9863,,
galar_pathology,single,pact_uncon,fold_ttest,rareF1,0.0084,0.1704,,
galar_pathology,single,pact_uncon,video_cluster_bootstrap,F1,0.0017,0.1964,-0.0011,0.0044
galar_pathology,single,pact_uncon,video_cluster_bootstrap,MCC,0.0009,2.807e-06,-0.0008,0.0027
galar_pathology,single,pact_uncon,video_cluster_bootstrap,rareRec,0.0095,0,0.0030,0.0166
galar_pathology,single,pact_uncon,video_cluster_bootstrap,rarePrec,0.0030,0.08551,-0.0199,0.0439
galar_pathology,single,pact_uncon,video_cluster_bootstrap,rareF1,0.0062,0.06153,-0.0014,0.0133
galar_pathology,single,hce,fold_ttest,F1,0.0015,0.3523,,
galar_pathology,single,hce,fold_ttest,MCC,-0.0065,0.3624,,
galar_pathology,single,hce,fold_ttest,rareRec,0.0370,0.0347,,
galar_pathology,single,hce,fold_ttest,rarePrec,-0.0217,0.1725,,
galar_pathology,single,hce,fold_ttest,rareF1,0.0086,0.1532,,
galar_pathology,single,hce,video_cluster_bootstrap,F1,0.0006,0.4544,-0.0055,0.0055
galar_pathology,single,hce,video_cluster_bootstrap,MCC,-0.0067,3.594e-292,-0.0171,0.0028
galar_pathology,single,hce,video_cluster_bootstrap,rareRec,0.0357,0,0.0096,0.0678
galar_pathology,single,hce,video_cluster_bootstrap,rarePrec,-0.0173,0.0572,-0.0471,0.0068
galar_pathology,single,hce,video_cluster_bootstrap,rareF1,0.0061,0.5941,-0.0095,0.0180
galar_pathology,ens,pact,fold_ttest,F1,0.0048,0.5041,,
