dataset,scope,method,f1_mean,f1_sd,recall_mean,recall_sd,mcc_mean,mcc_sd,rareRec_mean,rareRec_sd,rarePrec_mean,rarePrec_sd,rareF1_mean,rareF1_sd
kvasir,ens,hcg_const,0.2449,0.0210,0.2746,0.0094,0.4011,0.0298,0.0492,0.0357,0.0185,0.0098,0.0170,0.0013
kvasir,ens,hcg_hard,0.2485,0.0372,0.2963,0.0047,0.4030,0.0470,0.0672,0.0527,0.0152,0.0052,0.0176,0.0007
kvasir,ens,hcg_video,0.2665,0.0198,0.3097,0.0044,0.4154,0.0388,0.0743,0.0608,0.0185,0.0086,0.0182,0.0002
kvasir,ens,hcg_rel,0.2700,0.0359,0.3135,0.0070,0.4284,0.0508,0.0656,0.0521,0.0139,0.0044,0.0166,0.0010
kvasir,ens,hcg_rel_vid,0.2465,0.0118,0.3196,0.0296,0.4080,0.0283,0.1406,0.0709,0.0235,0.0163,0.0253,0.0122
kvasir,ens,hce,0.3023,0.0243,0.3472,0.0047,0.4421,0.0569,0.1013,0.0578,0.0224,0.0112,0.0294,0.0085
kvasir,ens,hce_auto,0.2696,0.0356,0.3053,0.0013,0.4174,0.0398,0.0728,0.0448,0.0190,0.0095,0.0229,0.0053
kvasir,ens,pact,0.2536,0.0188,0.2907,0.0157,0.4003,0.0227,0.0645,0.0510,0.0167,0.0073,0.0174,0.0001
kvasir,ens,pact_uncon,0.2908,0.0144,0.3271,0.0231,0.4194,0.0378,0.0936,0.0656,0.0655,0.0371,0.0273,0.0010
kvasir,ens,hceb,0.2999,0.0253,0.3382,0.0050,0.4364,0.0535,0.0890,0.0484,0.0755,0.0467,0.0294,0.0043
kvasir,ens,hceb_t15,0.2981,0.0237,0.3347,0.0042,0.4354,0.0533,0.0778,0.0401,0.0738,0.0470,0.0269,0.0044
kvasir,ens,hceb_t60,0.3012,0.0253,0.3401,0.0053,0.4381,0.0540,0.0906,0.0490,0.0761,0.0459,0.0298,0.0051
kvasir,ens,condb,0.2591,0.0273,0.2973,0.0001,0.4168,0.0410,0.0525,0.0390,0.0162,0.0079,0.0163,0.0010
kvasir,ens,hcea,0.3018,0.0239,0.3464,0.0055,0.4438,0.0587,0.0998,0.0592,0.0214,0.0102,0.0282,0.0073
kvasir,ens,hcea_s2,0.3021,0.0224,0.3456,0.0041,0.4471,0.0609,0.0998,0.0592,0.0221,0.0111,0.0285,0.0080
kvasir,ens,hcea_nosup,0.3023,0.0243,0.3472,0.0047,0.4421,0.0569,0.1013,0.0578,0.0224,0.0112,0.0294,0.0085
kvasir,ens,conda,0.2690,0.0349,0.3147,0.0081,0.4325,0.0550,0.0656,0.0521,0.0139,0.0044,0.0165,0.0010
kvasir,ens,hcg_Lvid,0.2665,0.0198,0.3097,0.0044,0.4154,0.0388,0.0743,0.0608,0.0185,0.0086,0.0182,0.0002
kvasir,ens,hcg_L1000,0.2701,0.0253,0.3175,0.0045,0.4287,0.0543,0.0782,0.0569,0.0241,0.0141,0.0229,0.0044
kvasir,ens,hcg_L300,0.2724,0.0349,0.3309,0.0170,0.4438,0.0672,0.0791,0.0646,0.0166,0.0060,0.0186,0.0010
kvasir,ens,hcg_L100,0.2723,0.0436,0.3139,0.0254,0.4317,0.0576,0.0505,0.0389,0.0160,0.0074,0.0156,0.0001
kvasir,ens,hcg_L30,0.2681,0.0347,0.3121,0.0053,0.4270,0.0487,0.0656,0.0521,0.0142,0.0047,0.0166,0.0008
kvasir,ens,hcg_L10,0.2670,0.0427,0.3101,0.0045,0.4164,0.0487,0.0667,0.0531,0.0146,0.0046,0.0172,0.0013
kvasir,ens,hcg_L3,0.2644,0.0215,0.3118,0.0131,0.4125,0.0310,0.0783,0.0590,0.0174,0.0067,0.0206,0.0008
galar_pathology,single,argmax,0.1839,0.0159,0.1990,0.0226,0.4195,0.0824,0.0250,0.0180,0.0618,0.0573,0.0257,0.0238
galar_pathology,single,la_tau,0.1839,0.0159,0.1990,0.0226,0.4195,0.0824,0.0250,0.0180,0.0618,0.0573,0.0257,0.0238
galar_pathology,single,ot_alpha,0.1671,0.0156,0.1884,0.0416,0.3479,0.0411,0.0304,0.0290,0.0250,0.0255,0.0248,0.0240
galar_pathology,single,mean_temporal,0.1878,0.0156,0.1964,0.0202,0.4486,0.0851,0.0219,0.0165,0.0704,0.0828,0.0245,0.0253
galar_pathology,single,ega_b4,0.1924,0.0194,0.2008,0.0252,0.4516,0.0828,0.0445,0.0308,0.0568,0.0532,0.0371,0.0363
galar_pathology,single,hcg,0.1858,0.0156,0.1998,0.0187,0.4402,0.0831,0.0249,0.0166,0.0673,0.0814,0.0247,0.0254
galar_pathology,single,hcg_const,0.1871,0.0153,0.1978,0.0198,0.4449,0.0852,0.0232,0.0168,0.0674,0.0806,0.0245,0.0253
galar_pathology,single,hcg_hard,0.1857,0.0154,0.1994,0.0188,0.4403,0.0832,0.0243,0.0165,0.0668,0.0805,0.0243,0.0248
galar_pathology,single,hcg_video,0.1862,0.0151,0.1990,0.0193,0.4424,0.0846,0.0248,0.0167,0.0673,0.0814,0.0248,0.0254
galar_pathology,single,hcg_rel,0.1861,0.0152,0.1987,0.0193,0.4436,0.0845,0.0249,0.0168,0.0690,0.0839,0.0246,0.0254
galar_pathology,single,hcg_rel_vid,0.1861,0.0152,0.1987,0.0193,0.4436,0.0845,0.0249,0.0168,0.0690,0.0839,0.0246,0.0254
galar_pathology,single,hce,0.1894,0.0187,0.2052,0.0231,0.4421,0.0794,0.0590,0.0361,0.0487,0.0531,0.0331,0.0361
galar_pathology,single,hce_auto,0.1922,0.0195,0.2014,0.0246,0.4502,0.0811,0.0434,0.0319,0.0572,0.0529,0.0374,0.0361
galar_pathology,single,pact,0.1892,0.0159,0.1982,0.0212,0.4489,0.0841,0.0300,0.0238,0.0796,0.0814,0.0286,0.0259
galar_pathology,single,pact_uncon,0.1903,0.0178,0.1992,0.0223,0.4495,0.0835,0.0327,0.0254,0.0701,0.0733,0.0328,0.0285
galar_pathology,single,hceb,0.1901,0.0194,0.2028,0.0239,0.4463,0.0800,0.0528,0.0321,0.0494,0.0549,0.0343,0.0379
galar_pathology,single,hceb_t15,0.1901,0.0195,0.2029,0.0238,0.4462,0.0800,0.0528,0.0319,0.0495,0.0550,0.0344,0.0378
galar_pathology,single,hceb_t60,0.1907,0.0195,0.2031,0.0240,0.4462,0.0799,0.0539,0.0324,0.0539,0.0544,0.0356,0.0376
galar_pathology,single,condb,0.1864,0.0154,0.1971,0.0196,0.4460,0.0841,0.0232,0.0157,0.0701,0.0837,0.0243,0.0247
galar_pathology,single,hcea,0.1893,0.0186,0.2052,0.0231,0.4421,0.0794,0.0589,0.0360,0.0492,0.0538,0.0330,0.0360
galar_pathology,single,hcea_s2,0.1894,0.0188,0.2052,0.0231,0.4422,0.0793,0.0592,0.0360,0.0520,0.0573,0.0335,0.0367
galar_pathology,single,hcea_nosup,0.1894,0.0187,0.2052,0.0231,0.4421,0.0794,0.0590,0.0361,0.0487,0.0531,0.0331,0.0361
galar_pathology,single,conda,0.1861,0.0151,0.1987,0.0192,0.4437,0.0845,0.0249,0.0168,0.0699,0.0852,0.0246,0.0254
galar_pathology,single,hcg_Lvid,0.1862,0.0151,0.1990,0.0193,0.4424,0.0846,0.0248,0.0167,0.0673,0.0814,0.0248,0.0254
galar_pathology,single,hcg_L1000,0.1871,0.0166,0.2025,0.0212,0.4387,0.0847,0.0283,0.0198,0.0610,0.0705,0.0289,0.0298
galar_pathology,single,hcg_L300,0.1866,0.0168,0.2033,0.0201,0.4354,0.0822,0.0280,0.0192,0.0610,0.0711,0.0284,0.0299
galar_pathology,single,hcg_L100,0.1859,0.0170,0.2051,0.0205,0.4319,0.0815,0.0300,0.0202,0.0577,0.0662,0.0283,0.0290
galar_pathology,single,hcg_L30,0.1863,0.0175,0.2060,0.0205,0.4294,0.0814,0.0314,0.0215,0.0558,0.0624,0.0292,0.0304
galar_pathology,single,hcg_L10,0.1863,0.0171,0.2094,0.0245,0.4268,0.0831,0.0366,0.0319,0.0478,0.0508,0.0302,0.0327
galar_pathology,single,hcg_L3,0.1860,0.0165,0.2023,0.0222,0.4331,0.0843,0.0254,0.0244,0.0529,0.0573,0.0287,0.0307
galar_pathology,ens,argmax,0.1947,0.0147,0.2008,0.0199,0.4612,0.0921,0.0219,0.0139,0.0846,0.0763,0.0296,0.0227
galar_pathology,ens,la_tau,0.1947,0.0147,0.2008,0.0199,0.4612,0.0921,0.0219,0.0139,0.0846,0.0763,0.0296,0.0227
galar_pathology,ens,ot_alpha,0.1755,0.0196,0.1986,0.0472,0.3630,0.0207,0.0436,0.0360,0.0411,0.0358,0.0378,0.0318
galar_pathology,ens,mean_temporal,0.1979,0.0148,0.1978,0.0189,0.4798,0.0929,0.0193,0.0137,0.1222,0.1123,0.0304,0.0239
galar_pathology,ens,ega_b4,0.2032,0.0190,0.2076,0.0283,0.4819,0.0911,0.0583,0.0429,0.0760,0.0686,0.0456,0.0396
galar_pathology,ens,hcg,0.1946,0.0134,0.2006,0.0181,0.4718,0.0937,0.0235,0.0143,0.0953,0.0866,0.0287,0.0210
galar_pathology,ens,hcg_const,0.1966,0.0143,0.1996,0.0183,0.4751,0.0935,0.0219,0.0137,0.1041,0.0948,0.0305,0.0228
galar_pathology,ens,hcg_hard,0.1946,0.0131,0.2006,0.0180,0.4719,0.0939,0.0236,0.0141,0.0944,0.0856,0.0286,0.0207
galar_pathology,ens,hcg_video,0.1946,0.0134,0.2006,0.0181,0.4718,0.0937,0.0235,0.0143,0.0953,0.0866,0.0287,0.0210
galar_pathology,ens,hcg_rel,0.1948,0.0133,0.1997,0.0180,0.4743,0.0932,0.0218,0.0132,0.0970,0.0881,0.0286,0.0214
galar_pathology,ens,hcg_rel_vid,0.1948,0.0133,0.1997,0.0180,0.4743,0.0932,0.0218,0.0132,0.0970,0.0881,0.0286,0.0214
galar_pathology,ens,hce,0.2000,0.0170,0.2092,0.0268,0.4772,0.0911,0.0598,0.0404,0.0798,0.0727,0.0419,0.0362
galar_pathology,ens,hce_auto,0.2018,0.0203,0.2088,0.0271,0.4792,0.0884,0.0549,0.0462,0.0768,0.0679,0.0462,0.0390
galar_pathology,ens,pact,0.2026,0.0196,0.2078,0.0281,0.4812,0.0905,0.0540,0.0471,0.0776,0.0671,0.0463,0.0389
galar_pathology,ens,pact_uncon,0.2026,0.0196,0.2078,0.0281,0.4812,0.0905,0.0540,0.0471,0.0776,0.0671,0.0463,0.0389
galar_pathology,ens,hceb,0.2010,0.0184,0.2079,0.0274,0.4793,0.0905,0.0578,0.0407,0.0805,0.0734,0.0440,0.0380
galar_pathology,ens,hceb_t15,0.2009,0.0185,0.2080,0.0274,0.4792,0.0904,0.0579,0.0408,0.0805,0.0733,0.0441,0.0381
galar_pathology,ens,hceb_t60,0.2011,0.0183,0.2079,0.0274,0.4795,0.0906,0.0579,0.0410,0.0805,0.0734,0.0439,0.0380
galar_pathology,ens,condb,0.1956,0.0140,0.1985,0.0182,0.4769,0.0920,0.0207,0.0123,0.1075,0.0982,0.0293,0.0219
galar_pathology,ens,hcea,0.2000,0.0170,0.2092,0.0268,0.4772,0.0911,0.0598,0.0404,0.0798,0.0727,0.0419,0.0362
galar_pathology,ens,hcea_s2,0.1993,0.0162,0.2095,0.0270,0.4771,0.0913,0.0612,0.0415,0.0798,0.0727,0.0402,0.0345
galar_pathology,ens,hcea_nosup,0.2000,0.0170,0.2092,0.0268,0.4772,0.0911,0.0598,0.0404,0.0798,0.0727,0.0419,0.0362
galar_pathology,ens,conda,0.1948,0.0133,0.1997,0.0180,0.4743,0.0932,0.0218,0.0132,0.0970,0.0881,0.0286,0.0214
galar_pathology,ens,hcg_Lvid,0.1946,0.0134,0.2006,0.0181,0.4718,0.0937,0.0235,0.0143,0.0953,0.0866,0.0287,0.0210
galar_pathology,ens,hcg_L1000,0.1956,0.0144,0.2033,0.0192,0.4705,0.0923,0.0258,0.0168,0.0968,0.0889,0.0317,0.0242
galar_pathology,ens,hcg_L300,0.1949,0.0144,0.2049,0.0194,0.4669,0.0922,0.0276,0.0186,0.0919,0.0843,0.0318,0.0245
galar_pathology,ens,hcg_L100,0.1940,0.0137,0.2064,0.0193,0.4647,0.0908,0.0296,0.0193,0.0891,0.0816,0.0303,0.0228
galar_pathology,ens,hcg_L30,0.1934,0.0148,0.2091,0.0188,0.4591,0.0888,0.0321,0.0209,0.0818,0.0751,0.0305,0.0232
galar_pathology,ens,hcg_L10,0.1893,0.0093,0.2072,0.0178,0.4605,0.0905,0.0270,0.0145,0.0283,0.0217,0.0170,0.0094
galar_pathology,ens,hcg_L3,0.1931,0.0137,0.2044,0.0156,0.4545,0.0937,0.0209,0.0080,0.1366,0.1283,0.0292,0.0225
