dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,ega_b4,7,32997,0.003154,0,0.0085,0.0001,0.0002,0.0002,0.0004
galar_pathology,ega_b4,8,17946,0.001716,1,0.1489,0.0558,0.0713,0.0796,0.0981
galar_pathology,ega_b4,9,7389,0.000706,1,0.0449,0.1162,0.0689,0.0588,0.0521
galar_pathology,ega_b4,10,180,0.000017,1,0.0333,0.0060,0.0133,0.0101,0.0226
galar_pathology,ega_b4,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg,0,8960238,0.856549,0,0.9317,0.9220,0.0296,0.9267,0.0231
galar_pathology,hcg,1,1120725,0.107135,0,0.5730,0.6030,0.1347,0.5850,0.1109
galar_pathology,hcg,2,99474,0.009509,0,0.0821,0.0823,0.0639,0.0614,0.0348
galar_pathology,hcg,3,85713,0.008194,0,0.3582,0.5067,0.2796,0.4102,0.1833
galar_pathology,hcg,4,48924,0.004677,0,0.0813,0.0526,0.0086,0.0597,0.0172
galar_pathology,hcg,5,43701,0.004178,0,0.0459,0.0883,0.0698,0.0514,0.0286
galar_pathology,hcg,6,43533,0.004162,0,0.0345,0.0427,0.0116,0.0365,0.0180
galar_pathology,hcg,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg,8,17946,0.001716,1,0.2026,0.0227,0.0299,0.0407,0.0535
galar_pathology,hcg,9,7389,0.000706,1,0.0665,0.0769,0.0549,0.0583,0.0569
galar_pathology,hcg,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_const,0,8960238,0.856549,0,0.9300,0.9297,0.0167,0.9298,0.0191
galar_pathology,hcg_const,1,1120725,0.107135,0,0.5815,0.5943,0.1229,0.5867,0.1122
galar_pathology,hcg_const,2,99474,0.009509,0,0.0809,0.0805,0.0648,0.0599,0.0376
galar_pathology,hcg_const,3,85713,0.008194,0,0.3763,0.4983,0.2831,0.4181,0.1866
galar_pathology,hcg_const,4,48924,0.004677,0,0.0846,0.0513,0.0079,0.0604,0.0179
galar_pathology,hcg_const,5,43701,0.004178,0,0.0511,0.0848,0.0653,0.0559,0.0304
galar_pathology,hcg_const,6,43533,0.004162,0,0.0369,0.0416,0.0099,0.0370,0.0175
galar_pathology,hcg_const,7,32997,0.003154,0,0.0069,0.0000,0.0000,0.0000,0.0001
galar_pathology,hcg_const,8,17946,0.001716,1,0.1990,0.0221,0.0292,0.0397,0.0522
galar_pathology,hcg_const,9,7389,0.000706,1,0.0708,0.0706,0.0545,0.0583,0.0581
galar_pathology,hcg_const,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_const,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_hard,0,8960238,0.856549,0,0.9317,0.9221,0.0294,0.9267,0.0230
galar_pathology,hcg_hard,1,1120725,0.107135,0,0.5727,0.6033,0.1347,0.5850,0.1109
galar_pathology,hcg_hard,2,99474,0.009509,0,0.0823,0.0823,0.0638,0.0614,0.0347
galar_pathology,hcg_hard,3,85713,0.008194,0,0.3615,0.5069,0.2797,0.4122,0.1824
galar_pathology,hcg_hard,4,48924,0.004677,0,0.0811,0.0520,0.0093,0.0592,0.0176
galar_pathology,hcg_hard,5,43701,0.004178,0,0.0456,0.0883,0.0701,0.0513,0.0291
galar_pathology,hcg_hard,6,43533,0.004162,0,0.0329,0.0410,0.0123,0.0349,0.0179
galar_pathology,hcg_hard,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_hard,8,17946,0.001716,1,0.1991,0.0213,0.0277,0.0383,0.0499
galar_pathology,hcg_hard,9,7389,0.000706,1,0.0682,0.0758,0.0552,0.0587,0.0573
galar_pathology,hcg_hard,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_hard,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_video,0,8960238,0.856549,0,0.9303,0.9276,0.0182,0.9289,0.0196
galar_pathology,hcg_video,1,1120725,0.107135,0,0.5816,0.5944,0.1245,0.5867,0.1122
galar_pathology,hcg_video,2,99474,0.009509,0,0.0800,0.0810,0.0652,0.0594,0.0371
galar_pathology,hcg_video,3,85713,0.008194,0,0.3599,0.5056,0.2807,0.4111,0.1823
galar_pathology,hcg_video,4,48924,0.004677,0,0.0814,0.0520,0.0080,0.0596,0.0174
galar_pathology,hcg_video,5,43701,0.004178,0,0.0474,0.0858,0.0666,0.0534,0.0291
galar_pathology,hcg_video,6,43533,0.004162,0,0.0352,0.0419,0.0106,0.0363,0.0178
galar_pathology,hcg_video,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_video,8,17946,0.001716,1,0.2025,0.0227,0.0299,0.0406,0.0536
galar_pathology,hcg_video,9,7389,0.000706,1,0.0668,0.0766,0.0549,0.0586,0.0568
galar_pathology,hcg_video,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
